Format: Draw Number,Draw Date (yyyymmdd),Winning Number 1,2,3,4,5,6,Supplementary 1,2,Division 1,2,3,4,5,6
521,19860719,37,33,12,28,17,30,31,29
523,19860726,35,9,11,5,25,42,24,33
525,19860802,1,34,41,8,43,17,16,39
527,19860809,20,22,11,34,35,10,25,44
529,19860816,35,41,5,22,29,45,26,14
531,19860823,23,27,3,40,24,12,33,21
533,19860830,6,7,30,20,14,9,35,26
535,19860906,39,34,45,3,1,10,42,14
537,19860913,16,5,21,14,28,8,20,3
539,19860920,37,40,43,3,44,21,36,45
541,19860927,21,2,35,27,37,11,30,20
543,19861004,12,19,27,10,24,18,32,31
545,19861011,28,19,30,8,13,9,23,39
547,19861018,30,22,21,28,37,11,23,34
549,19861025,8,23,41,24,18,44,43,22
551,19861101,1,4,3,41,29,27,23,28
553,19861108,34,16,22,37,33,9,41,26
555,19861115,12,28,29,27,30,4,38,8
557,19861122,19,41,21,25,15,7,5,39
559,19861129,25,26,18,29,19,8,34,23
561,19861206,32,26,29,7,5,10,36,6
563,19861213,27,19,7,2,25,4,34,36
565,19861220,34,23,22,2,14,10,45,41
567,19861227,16,40,31,1,43,8,17,3
569,19870103,25,16,3,23,8,15,10,31
571,19870110,31,36,5,24,44,40,33,4
573,19870117,36,9,3,20,44,29,10,45
575,19870124,21,18,25,24,26,44,34,8
577,19870131,2,15,35,22,8,12,41,43
579,19870207,35,9,32,4,39,28,5,15
581,19870214,40,19,32,18,29,20,10,15
583,19870221,16,14,41,29,42,43,8,27
585,19870228,35,6,44,27,41,2,23,32
587,19870307,7,9,20,36,28,11,40,37
589,19870314,23,16,10,37,27,22,11,44
591,19870321,38,14,29,8,35,10,34,21
593,19870328,2,10,18,36,27,28,33,39
595,19870404,11,17,2,29,40,32,10,16
597,19870411,4,7,17,33,23,37,15,41
599,19870418,31,26,33,38,29,7,3,8
601,19870425,18,33,35,2,41,8,10,14
603,19870502,14,44,36,1,5,41,25,7
605,19870509,17,44,12,30,9,24,5,41
607,19870516,33,12,38,8,40,16,30,35
609,19870523,4,6,25,12,13,32,22,35
611,19870530,15,38,31,32,7,43,13,19
613,19870606,15,14,19,18,9,25,39,6
615,19870613,11,32,45,21,7,40,20,39
617,19870620,43,2,35,30,29,3,36,16
619,19870627,16,45,14,1,30,4,15,23
621,19870704,19,18,28,33,20,36,34,11
623,19870711,12,18,26,42,20,1,37,30
625,19870718,30,41,8,6,32,1,10,27
627,19870725,39,12,15,2,1,38,21,22
629,19870801,40,33,11,23,31,42,34,10
631,19870808,17,31,3,39,13,8,7,15
633,19870815,39,33,38,37,34,23,1,44
635,19870822,33,1,8,6,27,39,40,10
637,19870829,37,22,45,23,7,35,15,25
639,19870905,24,14,12,32,37,40,31,8
641,19870912,29,42,7,6,4,25,23,17
