Draw Number, Draw Date, Col1, Col2, Col3, Col4, Col5, Col6, Powerball, Div1, Div2, Div3, Div4, Div5, Div6, Div7, Div8
"91","19980212","20","19","39","17","9","-","44","$12,686,885.91","$52,101.40","$4,631.25","$102.25","$46.75","$20.25","$9.40"
"92","19980219","10","20","14","39","9","-","18","$1,302,529.03","$40,570.20","$3,372.05","$90.15","$51.80","$19.25","$9.55"
"93","19980226","12","45","21","29","22","-","24","$0.00","$114,783.30","$6,360.30","$107.75","$54.20","$20.80","$9.75"
"94","19980305","14","9","16","19","17","-","23","$0.00","$42,707.10","$3,840.65","$85.65","$42.35","$18.05","$8.95"
"95","19980312","20","8","39","28","34","-","1","$5,000,000.00","$56,814.70","$5,902.85","$122.45","$53.95","$22.60","$10.20"
"96","19980319","12","9","40","4","32","-","1","$0.00","$28,563.35","$6,330.95","$114.45","$55.85","$21.40","$10.55"
"97","19980326","7","25","18","31","19","-","31","$3,000,000.00","$49,143.95","$5,105.85","$96.15","$40.85","$19.55","$9.00"
"98","19980402","17","38","2","42","8","-","25","$1,147,170.75","$61,191.40","$4,256.80","$104.90","$57.85","$20.95","$11.20"
"99","19980409","19","22","21","31","25","-","20","$0.00","$39,225.25","$5,331.00","$91.40","$50.40","$17.65","$9.75"
"100","19980416","44","38","21","28","9","-","32","$0.00","$94,139.95","$5,004.10","$110.50","$53.35","$22.70","$10.40"
"101","19980423","35","27","3","2","9","-","3","$5,000,000.00","$55,972.65","$6,092.25","$90.40","$48.50","$18.85","$9.25"
"102","19980430","11","22","42","32","34","-","21","$0.00","$39,819.45","$5,721.00","$98.95","$49.95","$20.60","$10.60"
"103","19980507","42","10","28","9","41","-","27","$3,000,000.00","$39,117.00","$6,705.75","$119.05","$60.40","$20.10","$11.25"
"104","19980514","5","24","29","1","27","-","34","$0.00","$62,766.25","$9,564.40","$118.35","$48.95","$22.15","$9.50"
"105","19980521","33","22","3","10","4","-","45","$0.00","$67,693.85","$4,332.40","$91.20","$48.15","$18.70","$9.50"
"106","19980528","41","11","37","25","38","-","20","$0.00","$114,041.65","$5,546.10","$111.00","$57.65","$19.95","$11.35"
"107","19980604","28","31","32","14","44","-","31","$7,000,000.00","$74,063.70","$11,675.05","$121.10","$56.10","$22.35","$10.80"
"108","19980611","28","44","24","30","3","-","25","$0.00","$74,421.95","$4,860.20","$112.40","$59.05","$20.90","$10.90"
"109","19980618","11","38","19","31","9","-","39","$0.00","$41,261.45","$4,234.40","$87.70","$43.05","$19.55","$9.05"
"110","19980625","8","4","41","29","40","-","37","$0.00","$94,172.20","$6,797.40","$119.95","$58.85","$22.75","$11.00"
"111","19980702","14","8","33","26","35","-","15","$7,000,000.00","$60,455.70","$5,428.65","$112.80","$55.30","$21.05","$10.70"
"112","19980709","21","5","20","41","27","-","38","$0.00","$54,793.20","$5,893.70","$121.55","$56.35","$21.90","$9.95"
"113","19980716","44","22","20","37","33","-","18","$0.00","$96,738.70","$4,704.60","$109.40","$54.55","$21.20","$10.95"
"114","19980723","17","32","21","42","14","-","24","$0.00","$57,733.50","$6,283.90","$109.60","$58.60","$21.00","$10.75"
"115","19980730","11","3","27","37","20","-","34","$0.00","$30,661.55","$3,876.95","$100.55","$37.50","$20.65","$8.50"
